;movie_title;HCA
439;The Hunger Games ;149
440;The Hangover Part II ;85
441;Batman Returns ;165
442;Over the Hedge ;132
443;Lilo & Stitch ;133
444;Charlotte's Web ;112
445;Deep Impact ;54
446;RED 2 ;80
447;The Longest Yard ;116
448;Alvin and the Chipmunks: Chipwrecked ;120
449;Grown Ups 2 ;85
450;Get Smart ;76
451;Something's Gotta Give ;100
452;Shutter Island ;47
453;Four Christmases ;100
454;Robots ;129
455;Face/Off ;139
456;Bedtime Stories ;105
457;Road to Perdition ;64
458;Just Go with It ;82
459;Daredevil             ;139
460;Con Air ;58
461;Eagle Eye ;46
462;Cold Mountain ;31
463;The Book of Eli ;27
464;Flubber ;90
465;The Haunting ;12
466;Space Jam ;129
467;The Pink Panther ;134
468;The Day the Earth Stood Still ;24
469;Conspiracy Theory ;61
470;Fury ;35
471;Six Days Seven Nights ;162
472;Yogi Bear ;132
473;Spirit: Stallion of the Cimarron ;132
474;Zookeeper ;105
475;Lost in Space ;138
476;The Manchurian Candidate ;23
477;Déjà Vu ;101
478;Hotel Transylvania 2 ;131
479;Bewitched             ;112
480;Fantasia 2000 ;119
481;The Time Machine ;155
482;Mighty Joe Young ;138
483;Swordfish ;58
484;The Legend of Zorro ;164
485;What Dreams May Come ;111
486;Little Nicky ;113
487;The Brothers Grimm ;145
488;Mars Attacks! ;157
489;Evolution ;16
490;The Edge ;27
491;Surrogates ;140
492;Thirteen Days ;37
493;Daylight ;27
494;Walking with Dinosaurs 3D ;132
495;Battlefield Earth ;155
496;Looney Tunes: Back in Action ;129
497;Nine ;94
498;Timeline ;155
499;The Postman ;149
500;Babe: Pig in the City ;133
501;The Last Witch Hunter ;160
502;Red Planet ;140
503;Arthur and the Invisibles ;123
504;Oceans ;71
505;A Sound of Thunder ;4
506;Pompeii ;153
507;Top Cat Begins ;130
508;A Beautiful Mind ;41
509;The Lion King ;121
510;Journey 2: The Mysterious Island ;125
511;Cloudy with a Chance of Meatballs 2 ;129
512;Red Dragon ;64
513;Hidalgo ;164
514;Jack and Jill ;85
515;2 Fast 2 Furious ;58
516;The Little Prince ;103
517;The Invasion ;143
518;The Adventures of Rocky & Bullwinkle ;122
519;The Secret Life of Pets ;131
520;The League of Extraordinary Gentlemen ;159
521;Despicable Me 2 ;129
522;Independence Day ;155
523;The Lost World: Jurassic Park ;155
524;Madagascar ;132
525;Children of Men ;24
526;X-Men ;155
527;Wanted ;3
528;The Rock ;135
529;Ice Age: The Meltdown ;128
530;50 First Dates ;82
531;Hairspray ;93
532;Exorcist: The Beginning ;11
533;Inspector Gadget ;127
534;Now You See Me ;45
535;Grown Ups ;85
536;The Terminal ;114
537;Constantine             ;7
538;Hotel for Dogs ;107
539;Vertical Limit ;27
540;Charlie Wilson's War ;36
541;Shark Tale ;132
542;Dreamgirls ;98
543;Life             ;53
544;Be Cool ;92
545;Munich ;37
546;Tears of the Sun ;26
547;Killers ;162
548;The Man from U.N.C.L.E. ;76
549;Spanglish ;100
550;Monster House ;131
551;Bandits ;75
552;First Knight ;161
553;Anna and the King ;38
554;Immortals ;163
555;Hostage ;49
556;Titan A.E. ;126
557;Hollywood Homicide ;80
558;Soldier ;141
559;Carriers ;24
560;Monkeybone ;130
561;Flight of the Phoenix ;27
562;Unbreakable ;23
563;Minions ;129
564;Sucker Punch ;3
565;Snake Eyes ;45
566;Sphere ;23
567;The Angry Birds Movie ;129
568;Fool's Gold ;145
569;Funny People ;114
570;The Kingdom ;28
571;Talladega Nights: The Ballad of Ricky Bobby ;77
572;Dr. Dolittle 2 ;112
573;Braveheart ;29
574;Jarhead ;35
575;The Simpsons Movie ;132
576;The Majestic ;101
577;Driven ;163
578;Two Brothers ;134
579;The Village ;54
580;Doctor Dolittle ;112
581;Signs ;24
582;Shrek 2 ;106
583;Cars ;108
584;Runaway Bride ;82
585;xXx ;135
586;The SpongeBob Movie: Sponge Out of Water ;122
587;Ransom ;67
588;Inglourious Basterds ;154
589;Hook ;125
591;Die Hard 2 ;144
592;S.W.A.T. ;136
593;Sleepy Hollow             ;56
594;Vanilla Sky ;47
595;Lady in the Water ;56
596;AVP: Alien vs. Predator ;4
597;Alvin and the Chipmunks: The Squeakquel ;120
598;We Were Soldiers ;30
599;Olympus Has Fallen ;144
600;Star Trek: Insurrection ;137
601;Battle Los Angeles ;156
602;Big Fish ;146
